week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
30-Dec-17,12580,"baltimore-columbia-towson, md",21,7.10%,-11.40%,-4,-4.80%,-20.70%,-0.40%,-16.90%,-0.20%
30-Dec-17,38300,"pittsburgh, pa",22,9.70%,-11.10%,-7,-6.40%,-7.50%,0.00%,-28.00%,-0.40%
30-Dec-17,38900,"portland-vancouver-hillsboro, or-wa",23,4.10%,8.90%,-8,-10.10%,27.30%,0.90%,22.60%,0.30%
30-Dec-17,16740,"charlotte-concord-gastonia, nc-sc",24,8.70%,-9.30%,-3,-3.40%,-11.30%,-0.10%,3.50%,0.40%
30-Dec-17,36740,"orlando-kissimmee-sanford, fl",25,8.70%,-11.20%,-9,-10.30%,-13.70%,-0.10%,1.50%,0.60%
30-Dec-17,17460,"cleveland-elyria, oh",26,14.30%,-12.00%,-8,-8.40%,-9.70%,-0.40%,53.70%,1.40%
30-Dec-17,41700,"san antonio-new braunfels, tx",27,3.00%,12.40%,0,0.00%,-28.10%,-1.20%,-55.90%,-3.40%
30-Dec-17,17140,"cincinnati, oh-ky-in",28,20.10%,-13.60%,-6,-7.10%,-12.50%,0.00%,-35.30%,-0.50%
30-Dec-17,40900,"sacramento--roseville--arden-arcade, ca",29,5.60%,-1.10%,-6,-8.60%,-8.40%,-0.10%,4.50%,0.50%
30-Dec-17,28140,"kansas city, mo-ks",30,14.20%,-2.30%,-4,-4.70%,-8.50%,-0.20%,-9.60%,-0.20%
30-Dec-17,18140,"columbus, oh",31,25.70%,-15.40%,-1,-1.30%,-20.30%,-0.30%,-13.60%,0.00%
30-Dec-17,26900,"indianapolis-carmel-anderson, in",32,25.70%,-21.60%,-3,-3.70%,-4.20%,0.30%,-45.80%,-0.90%
30-Dec-17,29820,"las vegas-henderson-paradise, nv",33,24.10%,-41.90%,-11,-14.70%,-35.10%,0.10%,-83.60%,-3.90%
30-Dec-17,12420,"austin-round rock, tx",34,-7.50%,11.10%,-6,-7.10%,-23.40%,-1.10%,-21.20%,-0.70%
30-Dec-17,34980,"nashville-davidson--murfreesboro--franklin, tn",35,13.70%,-17.90%,-5,-8.60%,17.50%,0.40%,4.60%,0.00%
30-Dec-17,41940,"san jose-sunnyvale-santa clara, ca",36,38.20%,-68.40%,-15,-25.40%,12.80%,2.10%,-59.30%,-0.20%
30-Dec-17,47260,"virginia beach-norfolk-newport news, va-nc",37,5.70%,1.80%,-9,-9.60%,-4.80%,-0.20%,-27.40%,-0.80%
30-Dec-17,33340,"milwaukee-waukesha-west allis, wi",38,12.50%,-35.80%,0,0.00%,-22.20%,-0.20%,-32.00%,-0.50%
30-Dec-17,39300,"providence-warwick, ri-ma",39,6.20%,-11.60%,-3,-3.40%,-25.30%,-1.10%,46.50%,0.80%
30-Dec-17,27260,"jacksonville, fl",40,6.60%,1.40%,-11,-11.50%,-4.70%,-0.10%,132.00%,3.40%
30-Dec-17,36420,"oklahoma city, ok",41,3.20%,-5.30%,-1,-1.20%,-29.80%,-1.00%,-27.80%,-0.80%
30-Dec-17,31140,"louisville/jefferson county, ky-in",42,24.30%,-11.80%,-4,-5.10%,-12.40%,-0.10%,-28.70%,-0.50%
30-Dec-17,32820,"memphis, tn-ms-ar",43,8.10%,-12.10%,-11,-12.00%,13.20%,0.70%,-38.30%,-0.70%
30-Dec-17,35380,"new orleans-metairie, la",44,5.70%,4.20%,-10,-10.80%,-4.50%,0.10%,-4.80%,0.10%
30-Dec-17,40060,"richmond, va",45,9.40%,-9.60%,-2,-2.40%,13.20%,-1.00%,205.10%,1.80%
30-Dec-17,39580,"raleigh, nc",46,4.00%,-1.90%,-3,-3.40%,-9.60%,-0.20%,-46.40%,-1.10%
30-Dec-17,15380,"buffalo-cheektowaga-niagara falls, ny",47,6.60%,-16.50%,-8,-10.50%,34.90%,1.60%,0.00%,0.30%
30-Dec-17,25540,"hartford-west hartford-east hartford, ct",48,-1.90%,1.40%,-14,-13.60%,-27.90%,-0.30%,-17.20%,0.00%
30-Dec-17,13820,"birmingham-hoover, al",49,8.30%,-16.70%,2,1.90%,-17.00%,-0.10%,-12.60%,0.00%
30-Dec-17,40380,"rochester, ny",50,6.70%,-18.10%,-6,-8.00%,184.20%,5.70%,96.40%,2.30%
30-Dec-17,46060,"tucson, az",51,9.50%,-9.80%,-4,-5.60%,-27.00%,-0.60%,-19.50%,-0.50%
30-Dec-17,41620,"salt lake city, ut",52,8.50%,-5.10%,-6,-9.00%,-4.50%,-0.30%,47.50%,0.60%
30-Dec-17,24340,"grand rapids-wyoming, mi",53,-2.40%,97.40%,-22,-22.20%,392.90%,2.00%,143.80%,0.30%
30-Dec-17,46140,"tulsa, ok",54,7.80%,5.90%,-4,-5.40%,-10.20%,0.50%,-55.50%,-1.80%
30-Dec-17,10580,"albany-schenectady-troy, ny",55,15.00%,-11.00%,1,1.00%,-25.30%,-0.30%,-24.10%,-0.60%
30-Dec-17,10740,"albuquerque, nm",56,2.10%,-7.70%,-10,-11.80%,-31.60%,-1.00%,-20.20%,-0.40%
30-Dec-17,36540,"omaha-council bluffs, ne-ia",57,14.70%,-6.60%,-5,-7.50%,14.70%,0.50%,-33.90%,-0.50%
30-Dec-17,49340,"worcester, ma-ct",58,4.50%,-12.10%,-9,-10.00%,-24.20%,-0.40%,-24.40%,-0.40%
30-Dec-17,28940,"knoxville, tn",59,13.60%,-11.80%,-12,-11.90%,7.90%,0.40%,-6.70%,0.00%
30-Dec-17,14860,"bridgeport-stamford-norwalk, ct",60,-1.40%,3.90%,-5,-4.30%,-28.60%,-0.30%,-26.30%,-0.20%
30-Dec-17,24860,"greenville-anderson-mauldin, sc",61,7.20%,-7.00%,-13,-13.70%,-5.60%,-0.10%,12.20%,0.60%
30-Dec-17,35840,"north port-sarasota-bradenton, fl",62,-2.80%,0.00%,-1,-1.30%,-27.90%,-0.90%,21.10%,0.90%
30-Dec-17,35300,"new haven-milford, ct",63,3.60%,-14.60%,-9,-8.60%,-36.80%,-0.20%,-33.00%,-0.20%
30-Dec-17,19380,"dayton, oh",64,6.30%,-15.80%,-13,-14.80%,25.30%,0.80%,-20.30%,-0.40%
30-Dec-17,46520,"urban honolulu, hi",65,-6.60%,4.20%,-5,-6.40%,42.50%,2.20%,-15.40%,0.20%
30-Dec-17,10900,"allentown-bethlehem-easton, pa-nj",66,15.90%,-18.60%,-12,-11.80%,15.10%,0.90%,-2.40%,0.40%
30-Dec-17,17900,"columbia, sc",67,6.20%,-11.00%,-9,-9.90%,-24.20%,-0.40%,-31.80%,-0.50%
30-Dec-17,12940,"baton rouge, la",68,1.70%,28.30%,5,5.80%,-5.20%,-0.90%,16.90%,-0.20%
30-Dec-17,24660,"greensboro-high point, nc",69,14.30%,-16.90%,-14,-12.20%,20.80%,0.90%,-4.80%,0.20%
30-Dec-17,23420,"fresno, ca",70,13.60%,-7.00%,-7,-9.90%,-7.60%,0.00%,-13.00%,-0.20%
30-Dec-17,16700,"charleston-north charleston, sc",71,3.90%,0.20%,-14,-12.80%,1.50%,0.00%,32.70%,0.50%
30-Dec-17,30780,"little rock-north little rock-conway, ar",72,9.60%,-11.40%,-1,-1.10%,-18.60%,-0.30%,-39.40%,-0.90%
30-Dec-17,15980,"cape coral-fort myers, fl",73,-1.50%,1.40%,-6,-7.40%,-9.50%,-0.30%,-9.30%,-0.50%
30-Dec-17,10420,"akron, oh",74,6.60%,-13.60%,-11,-12.80%,23.20%,0.50%,47.30%,1.30%
30-Dec-17,21340,"el paso, tx",75,2.40%,-8.50%,-10,-9.20%,25.00%,0.50%,0.00%,0.10%
30-Dec-17,37100,"oxnard-thousand oaks-ventura, ca",76,5.50%,-14.80%,-1,-1.50%,-13.40%,0.00%,131.40%,2.50%
30-Dec-17,17820,"colorado springs, co",77,10.80%,-11.30%,-7,-9.60%,1.70%,0.70%,-16.70%,-0.10%
30-Dec-17,31540,"madison, wi",78,4.80%,-22.00%,-1,-1.00%,-22.00%,0.10%,-50.80%,-1.70%
30-Dec-17,12540,"bakersfield, ca",79,8.90%,2.40%,0,0.00%,-3.60%,0.80%,-51.10%,-1.40%
30-Dec-17,49180,"winston-salem, nc",80,8.40%,-19.20%,-15,-13.00%,5.20%,0.50%,3.90%,0.40%
30-Dec-17,45060,"syracuse, ny",81,7.10%,-14.60%,-7,-7.00%,98.50%,3.10%,64.00%,2.30%
30-Dec-17,19660,"deltona-daytona beach-ormond beach, fl",82,1.70%,2.70%,-16,-16.80%,0.80%,-0.10%,21.30%,0.70%
30-Dec-17,14260,"boise city, id",83,15.40%,-8.30%,-5,-7.20%,27.40%,1.50%,-36.50%,-0.80%
30-Dec-17,48620,"wichita, ks",84,3.10%,1.40%,2,2.50%,-9.90%,-0.40%,-17.80%,-0.60%
30-Dec-17,45780,"toledo, oh",85,-3.20%,-13.80%,-3,-3.60%,1.70%,0.70%,-43.90%,-0.50%
30-Dec-17,19780,"des moines-west des moines, ia",86,5.60%,5.30%,0,0.00%,-11.50%,-0.30%,-26.30%,-1.10%
30-Dec-17,44140,"springfield, ma",87,11.10%,-13.70%,-1,-1.10%,27.00%,0.90%,-2.10%,0.20%
30-Dec-17,29460,"lakeland-winter haven, fl",88,10.00%,-13.30%,-12,-13.80%,28.20%,1.00%,-2.90%,0.30%
30-Dec-17,37340,"palm bay-melbourne-titusville, fl",89,10.80%,5.00%,0,0.00%,7.50%,0.10%,-24.00%,-2.00%
30-Dec-17,32580,"mcallen-edinburg-mission, tx",90,0.50%,9.70%,2,1.80%,-23.00%,-0.90%,0.00%,-0.10%
30-Dec-17,25420,"harrisburg-carlisle, pa",91,6.40%,-20.50%,-3,-2.90%,-19.00%,0.70%,3.60%,1.10%
30-Dec-17,42540,"scranton--wilkes-barre--hazleton, pa",92,7.70%,-17.50%,-11,-8.90%,-35.70%,-0.40%,-16.40%,0.00%
30-Dec-17,12260,"augusta-richmond county, ga-sc",93,8.50%,-12.20%,-7,-6.20%,-32.40%,-0.70%,-26.60%,-0.40%
30-Dec-17,49660,"youngstown-warren-boardman, oh-pa",94,13.30%,-8.20%,-15,-12.60%,3.80%,0.00%,50.00%,1.10%
30-Dec-17,44700,"stockton-lodi, ca",95,11.40%,-12.30%,-6,-9.80%,9.80%,0.60%,-7.40%,0.00%
30-Dec-17,20500,"durham-chapel hill, nc",96,8.10%,-18.70%,-5,-4.70%,-22.00%,-0.20%,-26.10%,-0.20%
30-Dec-17,38860,"portland-south portland, me",97,4.60%,-9.60%,-12,-9.90%,4.40%,0.20%,13.30%,0.20%
30-Dec-17,44060,"spokane-spokane valley, wa",98,16.40%,-15.90%,-3,-3.40%,-34.20%,-0.80%,97.40%,1.60%
30-Dec-17,16860,"chattanooga, tn-ga",99,12.00%,-20.00%,-9,-10.00%,-27.00%,-0.30%,-1.50%,0.60%
30-Dec-17,27140,"jackson, ms",100,11.30%,-1.60%,-9,-8.30%,-15.70%,-0.40%,-21.40%,-0.50%
23-Dec-17,35620,"new york-newark-jersey city, ny-nj-pa",1,11.70%,-5.80%,-9,-9.50%,7.10%,0.40%,18.00%,0.40%
23-Dec-17,31080,"los angeles-long beach-anaheim, ca",2,7.90%,-15.50%,-12,-18.20%,0.60%,0.60%,42.60%,1.20%
23-Dec-17,16980,"chicago-naperville-elgin, il-in-wi",3,5.60%,-9.30%,-7,-8.50%,18.30%,0.70%,7.20%,0.80%
23-Dec-17,19100,"dallas-fort worth-arlington, tx",4,-0.10%,12.00%,-1,-1.50%,31.50%,0.80%,24.10%,0.90%
23-Dec-17,26420,"houston-the woodlands-sugar land, tx",5,3.20%,1.00%,0,0.00%,17.80%,0.50%,15.00%,0.60%
23-Dec-17,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,6.80%,-6.10%,-10,-10.80%,-2.90%,1.20%,-7.10%,0.90%
23-Dec-17,47900,"washington-arlington-alexandria, dc-va-md-wv",7,3.60%,-4.00%,0,0.00%,9.20%,0.50%,1.30%,0.10%
23-Dec-17,33100,"miami-fort lauderdale-west palm beach, fl",8,4.20%,-0.60%,-3,-3.30%,2.70%,0.20%,-3.70%,-0.10%
23-Dec-17,12060,"atlanta-sandy springs-roswell, ga",9,11.20%,0.00%,-2,-2.90%,29.10%,1.00%,13.10%,0.50%
23-Dec-17,14460,"boston-cambridge-newton, ma-nh",10,6.10%,-11.50%,-10,-11.90%,-4.90%,0.10%,14.20%,0.30%
23-Dec-17,41860,"san francisco-oakland-hayward, ca",11,5.10%,-34.40%,-9,-15.80%,-85.30%,-11.60%,-31.20%,0.40%
23-Dec-17,19820,"detroit-warren-dearborn, mi",12,7.00%,-6.50%,-4,-6.00%,12.20%,1.00%,15.70%,0.60%
23-Dec-17,38060,"phoenix-mesa-scottsdale, az",13,4.70%,-13.40%,-4,-6.20%,8.40%,1.00%,-0.50%,0.40%
23-Dec-17,42660,"seattle-tacoma-bellevue, wa",14,15.10%,-19.90%,0,0.00%,17.50%,-1.70%,224.30%,2.50%
23-Dec-17,33460,"minneapolis-st. paul-bloomington, mn-wi",15,16.50%,-19.00%,-2,-2.60%,14.90%,0.80%,-57.00%,-2.80%
23-Dec-17,40140,"riverside-san bernardino-ontario, ca",16,5.50%,-12.60%,-15,-20.50%,15.40%,1.00%,42.40%,1.60%
23-Dec-17,45300,"tampa-st. petersburg-clearwater, fl",17,5.40%,-8.40%,-3,-4.40%,5.10%,0.60%,96.90%,4.00%
23-Dec-17,41740,"san diego-carlsbad, ca",18,4.50%,-9.20%,-7,-12.30%,14.00%,1.40%,-15.30%,-0.20%
23-Dec-17,41180,"st. louis, mo-il",19,11.80%,-3.80%,-6,-6.90%,33.20%,0.90%,87.00%,1.70%
23-Dec-17,19740,"denver-aurora-lakewood, co",20,4.70%,-10.10%,-5,-7.00%,26.80%,2.30%,27.30%,0.80%
23-Dec-17,12580,"baltimore-columbia-towson, md",21,5.80%,-8.60%,-5,-6.30%,11.80%,0.70%,-2.90%,0.10%
23-Dec-17,38300,"pittsburgh, pa",22,11.70%,-11.60%,-6,-5.80%,25.60%,0.70%,31.50%,0.60%
23-Dec-17,38900,"portland-vancouver-hillsboro, or-wa",23,4.30%,7.60%,-9,-12.00%,6.60%,0.00%,20.30%,0.40%
23-Dec-17,16740,"charlotte-concord-gastonia, nc-sc",24,7.80%,-9.60%,-4,-4.80%,14.20%,0.80%,54.10%,2.10%
23-Dec-17,36740,"orlando-kissimmee-sanford, fl",25,8.20%,-13.10%,-9,-10.80%,20.80%,1.10%,77.30%,2.90%
23-Dec-17,17460,"cleveland-elyria, oh",26,14.30%,-14.00%,-9,-9.80%,4.90%,0.00%,91.80%,2.70%
23-Dec-17,41700,"san antonio-new braunfels, tx",27,3.00%,12.90%,-1,-1.30%,15.20%,0.20%,-41.40%,-2.20%
23-Dec-17,17140,"cincinnati, oh-ky-in",28,18.90%,-13.80%,-5,-6.30%,-19.70%,-0.30%,-9.00%,0.10%
23-Dec-17,40900,"sacramento--roseville--arden-arcade, ca",29,2.30%,-0.10%,-7,-10.60%,12.50%,0.70%,14.20%,1.00%
23-Dec-17,28140,"kansas city, mo-ks",30,12.80%,-1.80%,-3,-3.70%,30.10%,1.00%,-2.50%,0.00%
23-Dec-17,18140,"columbus, oh",31,26.40%,-15.40%,-1,-1.30%,15.00%,0.90%,8.30%,0.40%
23-Dec-17,26900,"indianapolis-carmel-anderson, in",32,24.90%,-22.30%,-5,-6.30%,8.00%,0.80%,9.30%,0.50%
23-Dec-17,29820,"las vegas-henderson-paradise, nv",33,17.60%,-43.40%,-13,-18.10%,-14.90%,1.40%,-68.80%,-2.60%
23-Dec-17,12420,"austin-round rock, tx",34,-7.70%,12.60%,-6,-7.50%,24.10%,0.40%,45.10%,0.70%
23-Dec-17,34980,"nashville-davidson--murfreesboro--franklin, tn",35,13.10%,-19.30%,-4,-7.50%,32.20%,1.20%,78.60%,1.00%
23-Dec-17,41940,"san jose-sunnyvale-santa clara, ca",36,35.90%,-76.40%,-12,-22.20%,-97.30%,-31.40%,-40.20%,2.10%
23-Dec-17,47260,"virginia beach-norfolk-newport news, va-nc",37,6.90%,1.60%,-12,-13.00%,48.00%,1.20%,4.40%,0.00%
23-Dec-17,33340,"milwaukee-waukesha-west allis, wi",38,10.00%,-36.00%,-1,-1.30%,32.80%,1.20%,25.00%,0.70%
23-Dec-17,39300,"providence-warwick, ri-ma",39,4.70%,-11.10%,-4,-4.80%,25.80%,0.30%,97.80%,1.80%
23-Dec-17,27260,"jacksonville, fl",40,6.90%,1.50%,-13,-14.10%,23.30%,0.60%,177.30%,3.40%
23-Dec-17,36420,"oklahoma city, ok",41,3.20%,-5.00%,-3,-3.80%,20.60%,1.00%,12.60%,0.50%
23-Dec-17,31140,"louisville/jefferson county, ky-in",42,21.70%,-10.20%,-3,-4.10%,8.80%,0.60%,-17.70%,-0.20%
23-Dec-17,32820,"memphis, tn-ms-ar",43,5.90%,-13.40%,-10,-11.50%,9.40%,0.80%,38.70%,0.70%
23-Dec-17,35380,"new orleans-metairie, la",44,5.50%,3.70%,-9,-10.10%,1.00%,0.30%,51.60%,1.00%
23-Dec-17,40060,"richmond, va",45,9.40%,-8.70%,-4,-5.10%,12.40%,-1.40%,227.90%,2.60%
23-Dec-17,39580,"raleigh, nc",46,3.90%,-1.80%,-6,-7.00%,48.00%,1.60%,8.50%,0.30%
23-Dec-17,15380,"buffalo-cheektowaga-niagara falls, ny",47,6.70%,-15.20%,-6,-8.50%,39.10%,2.20%,85.70%,1.60%
23-Dec-17,25540,"hartford-west hartford-east hartford, ct",48,-1.90%,2.30%,-14,-14.10%,11.60%,0.70%,-29.70%,-0.30%
23-Dec-17,13820,"birmingham-hoover, al",49,8.10%,-17.40%,3,2.90%,13.50%,0.80%,7.80%,0.70%
23-Dec-17,40380,"rochester, ny",50,13.30%,-17.00%,2,2.90%,-94.60%,-2.80%,-89.20%,-1.80%
23-Dec-17,46060,"tucson, az",51,8.40%,-9.60%,-3,-4.50%,2.60%,0.50%,8.20%,0.90%
23-Dec-17,41620,"salt lake city, ut",52,6.40%,-3.40%,-8,-12.30%,23.50%,0.70%,-22.50%,-0.50%
23-Dec-17,24340,"grand rapids-wyoming, mi",53,-3.80%,93.20%,-23,-24.70%,333.30%,2.90%,580.00%,2.20%
23-Dec-17,46140,"tulsa, ok",54,6.30%,5.70%,-5,-7.00%,11.10%,1.50%,-52.70%,-1.70%
23-Dec-17,10580,"albany-schenectady-troy, ny",55,12.50%,-14.10%,0,0.00%,-26.20%,-0.50%,-2.60%,0.20%
23-Dec-17,10740,"albuquerque, nm",56,1.70%,-6.90%,-10,-12.20%,13.40%,0.90%,8.60%,0.50%
23-Dec-17,36540,"omaha-council bluffs, ne-ia",57,13.70%,-8.50%,-7,-10.90%,27.30%,1.10%,-10.40%,-0.10%
23-Dec-17,49340,"worcester, ma-ct",58,3.70%,-10.80%,-6,-7.10%,13.80%,0.90%,4.50%,0.40%
23-Dec-17,28940,"knoxville, tn",59,13.60%,-12.20%,-10,-10.50%,3.60%,0.40%,-26.00%,-0.30%
23-Dec-17,14860,"bridgeport-stamford-norwalk, ct",60,-2.10%,-0.10%,-3,-2.80%,-5.00%,0.10%,1.40%,0.20%
23-Dec-17,24860,"greenville-anderson-mauldin, sc",61,6.00%,-0.70%,-13,-14.60%,18.30%,0.60%,-6.30%,-0.30%
23-Dec-17,35840,"north port-sarasota-bradenton, fl",62,-4.10%,-0.30%,-3,-3.80%,19.10%,0.60%,99.30%,2.90%
23-Dec-17,35300,"new haven-milford, ct",63,2.00%,-14.20%,-9,-8.90%,2.70%,0.80%,-32.60%,-0.10%
23-Dec-17,19380,"dayton, oh",64,8.70%,-16.40%,-11,-13.40%,44.20%,1.70%,58.90%,1.50%
23-Dec-17,46520,"urban honolulu, hi",65,-6.00%,1.50%,-4,-5.40%,9.50%,1.90%,-12.20%,0.30%
23-Dec-17,10900,"allentown-bethlehem-easton, pa-nj",66,16.90%,-18.80%,-11,-11.30%,-9.60%,0.50%,-31.80%,-0.30%
23-Dec-17,17900,"columbia, sc",67,5.60%,-10.30%,-10,-11.40%,60.90%,2.40%,-9.00%,0.00%
23-Dec-17,12940,"baton rouge, la",68,0.00%,24.10%,2,2.40%,-11.30%,-1.50%,51.60%,0.60%
23-Dec-17,24660,"greensboro-high point, nc",69,14.40%,-18.40%,-13,-11.90%,13.40%,1.20%,-6.50%,0.30%
23-Dec-17,23420,"fresno, ca",70,15.10%,-7.50%,-7,-10.40%,-23.30%,-1.00%,44.70%,1.10%
23-Dec-17,16700,"charleston-north charleston, sc",71,4.40%,-0.50%,-14,-13.30%,1.60%,0.00%,-8.30%,-0.20%
23-Dec-17,30780,"little rock-north little rock-conway, ar",72,9.50%,-12.20%,-3,-3.50%,4.90%,0.50%,-19.00%,-0.20%
23-Dec-17,15980,"cape coral-fort myers, fl",73,-1.70%,1.60%,-6,-7.70%,20.00%,0.70%,15.70%,0.70%
23-Dec-17,10420,"akron, oh",74,11.90%,-15.90%,-10,-12.20%,2.10%,0.00%,107.10%,3.00%
23-Dec-17,21340,"el paso, tx",75,2.50%,-9.90%,-9,-8.70%,21.00%,0.70%,11.40%,0.40%
23-Dec-17,37100,"oxnard-thousand oaks-ventura, ca",76,8.30%,-14.20%,1,1.60%,-12.00%,0.10%,203.80%,2.60%
23-Dec-17,17820,"colorado springs, co",77,10.30%,-9.60%,-10,-14.10%,36.00%,2.20%,4.70%,0.50%
23-Dec-17,31540,"madison, wi",78,4.90%,-23.30%,-1,-1.10%,-20.00%,0.30%,-19.00%,0.50%
23-Dec-17,12540,"bakersfield, ca",79,6.40%,1.40%,-1,-1.40%,37.40%,2.40%,-38.50%,-0.90%
23-Dec-17,49180,"winston-salem, nc",80,6.70%,-19.60%,-14,-12.80%,3.30%,0.70%,12.50%,0.50%
23-Dec-17,45060,"syracuse, ny",81,7.20%,-16.50%,-4,-4.20%,-92.20%,-2.90%,-77.90%,-1.80%
23-Dec-17,19660,"deltona-daytona beach-ormond beach, fl",82,1.80%,2.00%,-18,-19.40%,33.10%,1.20%,53.80%,1.70%
23-Dec-17,14260,"boise city, id",83,15.70%,-8.70%,-6,-9.40%,42.50%,2.20%,43.50%,1.20%
23-Dec-17,48620,"wichita, ks",84,4.30%,0.00%,1,1.30%,5.20%,0.20%,34.00%,0.70%
23-Dec-17,45780,"toledo, oh",85,-3.70%,-15.80%,-6,-7.50%,-2.00%,1.00%,1.80%,0.70%
23-Dec-17,19780,"des moines-west des moines, ia",86,5.60%,5.30%,0,0.00%,9.80%,0.30%,24.10%,0.90%
23-Dec-17,44140,"springfield, ma",87,11.10%,-14.70%,-1,-1.10%,42.60%,1.60%,-8.20%,0.10%
23-Dec-17,29460,"lakeland-winter haven, fl",88,9.30%,-16.40%,-9,-11.00%,5.00%,0.70%,48.00%,2.00%
23-Dec-17,37340,"palm bay-melbourne-titusville, fl",89,12.00%,4.00%,-1,-1.50%,-3.20%,-0.20%,17.80%,0.90%
23-Dec-17,32580,"mcallen-edinburg-mission, tx",90,0.50%,10.30%,4,3.70%,44.40%,0.90%,15.80%,0.10%
23-Dec-17,25420,"harrisburg-carlisle, pa",91,9.60%,-20.00%,-6,-5.90%,-5.10%,1.40%,-18.80%,0.60%
23-Dec-17,42540,"scranton--wilkes-barre--hazleton, pa",92,7.70%,-16.60%,-13,-10.70%,-6.40%,0.30%,14.30%,0.90%
23-Dec-17,12260,"augusta-richmond county, ga-sc",93,8.00%,-11.70%,-8,-7.30%,42.50%,1.50%,-9.30%,0.00%
23-Dec-17,49660,"youngstown-warren-boardman, oh-pa",94,13.50%,-11.30%,-15,-13.20%,36.70%,0.70%,81.50%,1.60%
23-Dec-17,44700,"stockton-lodi, ca",95,13.20%,-12.90%,-8,-13.30%,-51.10%,-2.60%,17.00%,1.60%
23-Dec-17,20500,"durham-chapel hill, nc",96,8.90%,-18.90%,-4,-3.90%,7.90%,1.00%,92.60%,1.60%
23-Dec-17,38860,"portland-south portland, me",97,6.10%,-11.00%,-13,-11.20%,11.30%,0.50%,-2.30%,0.10%
23-Dec-17,44060,"spokane-spokane valley, wa",98,10.20%,-14.50%,-4,-4.80%,-10.50%,-0.10%,258.80%,3.40%
23-Dec-17,16860,"chattanooga, tn-ga",99,12.00%,-20.60%,-10,-11.50%,17.30%,1.60%,-31.60%,-0.40%
23-Dec-17,27140,"jackson, ms",100,12.30%,-2.80%,-12,-11.30%,77.40%,1.40%,20.00%,0.30%
16-Dec-17,35620,"new york-newark-jersey city, ny-nj-pa",1,11.40%,-5.30%,-8,-8.70%,7.60%,0.50%,1.60%,0.20%
16-Dec-17,31080,"los angeles-long beach-anaheim, ca",2,7.20%,-14.80%,-11,-18.00%,3.30%,1.00%,7.60%,0.70%
16-Dec-17,16980,"chicago-naperville-elgin, il-in-wi",3,7.10%,-8.80%,-8,-10.10%,9.00%,0.70%,-10.00%,-0.10%
16-Dec-17,19100,"dallas-fort worth-arlington, tx",4,0.00%,11.60%,0,0.00%,26.10%,0.80%,9.70%,0.00%
16-Dec-17,26420,"houston-the woodlands-sugar land, tx",5,2.90%,2.00%,-1,-1.40%,5.70%,0.10%,1.30%,-0.10%
16-Dec-17,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,7.80%,-7.90%,-10,-11.20%,-3.80%,1.60%,-30.80%,0.20%
16-Dec-17,47900,"washington-arlington-alexandria, dc-va-md-wv",7,2.90%,-6.90%,-1,-1.50%,5.80%,0.70%,2.20%,0.40%
16-Dec-17,33100,"miami-fort lauderdale-west palm beach, fl",8,4.20%,-0.30%,-1,-1.10%,-2.70%,0.00%,-12.30%,-0.50%
16-Dec-17,12060,"atlanta-sandy springs-roswell, ga",9,11.60%,0.00%,-1,-1.50%,25.00%,1.00%,22.00%,1.00%
16-Dec-17,14460,"boston-cambridge-newton, ma-nh",10,5.20%,-11.00%,-12,-15.20%,8.40%,0.90%,-0.30%,0.20%
16-Dec-17,41860,"san francisco-oakland-hayward, ca",11,12.10%,-18.40%,-6,-12.00%,13.30%,1.40%,-27.40%,-0.80%
16-Dec-17,19820,"detroit-warren-dearborn, mi",12,8.40%,-7.70%,-2,-3.20%,11.90%,1.20%,-4.30%,0.10%
16-Dec-17,38060,"phoenix-mesa-scottsdale, az",13,5.00%,-13.30%,-5,-7.90%,-5.70%,0.40%,-7.00%,0.30%
16-Dec-17,42660,"seattle-tacoma-bellevue, wa",14,13.40%,-15.30%,-1,-2.00%,6.80%,-3.40%,84.50%,0.60%
16-Dec-17,33460,"minneapolis-st. paul-bloomington, mn-wi",15,15.60%,-18.40%,-4,-5.60%,9.10%,0.80%,-54.00%,-2.60%
16-Dec-17,40140,"riverside-san bernardino-ontario, ca",16,6.90%,-12.80%,-14,-20.30%,5.40%,0.90%,5.80%,0.70%
16-Dec-17,45300,"tampa-st. petersburg-clearwater, fl",17,4.90%,-8.10%,-4,-6.10%,3.30%,0.60%,-1.90%,0.40%
16-Dec-17,41740,"san diego-carlsbad, ca",18,4.00%,-9.70%,-6,-11.80%,4.60%,1.30%,-4.70%,0.30%
16-Dec-17,41180,"st. louis, mo-il",19,11.70%,-3.80%,-4,-4.90%,3.70%,0.30%,-20.80%,-1.00%
16-Dec-17,19740,"denver-aurora-lakewood, co",20,4.70%,-8.80%,-4,-6.30%,8.90%,1.60%,-5.40%,0.00%
16-Dec-17,12580,"baltimore-columbia-towson, md",21,5.10%,-11.30%,-4,-5.30%,0.80%,0.60%,-2.60%,0.40%
16-Dec-17,38300,"pittsburgh, pa",22,12.80%,-11.30%,-6,-6.00%,-0.30%,0.20%,1.50%,0.20%
